Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
I & S TEAM,03050556,50732555,Aktivan,19161736,799322,42,,,2015-06-03,17001025
FARMONT M.P,02327066,50019313,Aktivan,14245395,1007236,49,,,2002-07-29,8190532
L D GRADNJA,02675188,50402961,Aktivan,14008449,819413,20,,,2007-08-14,11896140
PERMONTE,02695154,50437182,Aktivan,13898083,1274468,13,,,2008-01-10,3533623
FABRIKA STOČNE HRANE DOO,02000423,51018768,Aktivan,14048407,1077428,18,,,2002-08-08,13321474
AGRO MONT,02377861,50148961,Aktivan,14766315,1868526,54,,,2002-11-26,16761929
BEPPLER & JACOBSON MONTENEGRO,02391082,50191462,Aktivan,13715212,3054523,71,,,2003-10-14,69140220
SOLARIS & CO,02375036,50166790,Aktivan,14072149,506628,81,,,2003-04-01,5026408
ŠIMŠIĆ-MONTMILK,02271176,50006051,Aktivan,14187719,750042,119,,,2002-07-18,7767916
MERIDIANBET,02353318,50075061,Aktivan,13510793,1912884,158,,,2002-08-12,24524178
SI-ING,02224682,50064462,Aktivan,14030394,488942,95,,,2002-08-09,9333132
MARTEX,02124629,50012964,Aktivan,13518342,313935,56,,,2002-07-24,15004340
DUKLEY HOTEL,03050831,50732722,Aktivan,13796953,-20435,188,,,2015-06-04,11346319
URION,02301245,50068730,Aktivan,13305181,2752876,23,,,2002-08-09,14553901
RAZVOJNA BANKA CRNE GORE AD PODGORICA,02217937,40009175,Aktivan,13202606,5886203,91,,,2010-04-23,419484532
MONTECCO INC,02306689,50048344,Aktivan,13271171,443468,92,,,2002-08-14,11416775
GORENJE PODGORICA,02235455,50046011,Aktivan,13204598,104834,7,,,2002-08-14,5081918
RIBNICA COMMERCE,02046954,50363041,Aktivan,13907177,1312553,62,,,2006-08-02,18318589
PROKOM,02317982,50085711,Aktivan,12975145,874860,18,,,2002-08-12,5289701
POLIEX,02035057,40000546,Aktivan,13837545,4272372,109,,,2002-08-14,33499551
ENING,02214628,50017511,Aktivan,12757915,1168535,140,,,2002-07-26,12695983
NALL INTERNATIONAL,02327953,50119433,Aktivan,12864545,902880,92,,,2002-08-14,13226126
UNO-NK,02375885,50168243,Aktivan,12470316,2130185,163,,,2003-04-11,23215015
DEKRA PRIVREMENO ZAPOŠLJAVANJE,02873273,50626421,Aktivan,12264732,107233,813,,,2012-03-06,1536875
MILŠPED MONTENEGRO DOO,02660814,50379503,Aktivan,12326992,742097,83,,,2007-05-16,4183602
SLAVIJA,02415216,50226654,Aktivan,12176033,4516973,104,,,2004-07-21,20312344
J & J COMPANY,02457563,50287920,Aktivan,12067093,1575261,49,,,2006-03-28,10458359
CENTAR ZA RECIKLAŽU,02635879,50335700,Aktivan,13001460,869586,39,,,2006-11-28,10433144
VODOVOD I KANALIZACIJA,02015641,50669270,Aktivan,13133095,-1225797,552,,,2013-08-20,56255879
ROAMING MONTENEGRO,02451336,50278960,Aktivan,13463973,2050328,18,,,2006-01-26,59241806
ELKOS,02278758,50027190,Aktivan,12447095,537515,79,,,2002-07-30,7354103
KIDZONE,03267652,50893535,Aktivan,12010218,2520610,87,,,2019-06-18,4990649
MINIKO,02196905,50022002,Aktivan,11785971,143690,91,,,2002-07-30,3297643
